,content,type
15545,科伦药业涉嫌信披违规被证监会立案调查莱美药业股东减持200万股 占股本1.09%,信批违规
100753,"事后公安机关经侦查确认该扫描件系伪造,并抓获...通过长沙合盛科技投资有限公司和长沙一方科技投资...不断发出针对三一的不实举报,迫使三一投入大量...",涉嫌违法
130429,除了小赢卡贷，众安保险互助的消费贷平台“点点”也被大量投诉,投诉维权
117496,"山东英科医疗用品股份有限公司独立董事关于第二...[基金]一封举报信牵出基金业'拼单'潜规则09...'私募基金'等诈骗活动,中财网从未开展此类业务,...",投诉维权
93580,苏宁消费金融逾期多久会起诉,涉嫌违法
28901,"没有公司照片点击添加杭州筑家易网络科技股份有限公司互联网500-999人...违禁信息(色情、欺诈、非法传销)不友善内容(诽谤,人身攻击、骚扰、侵...",涉嫌欺诈
49682,"廊坊到德宏物流远成顺通专线货运、搬家、托运、空运、海运、展会...国际贸易网不承担您因此而发生或致使的任何损害,但我们欢迎您举报与投...",投诉维权
43637,手机查看上海峰堑信息科技有限公司微信或企查查APP扫一扫查看详情发票抬头...(名单)网贷之家银保监会:去年非法集资额创新高互联网...,涉嫌非法集资
109868,2012年上有其宣传视频以游戏为幌子，实际就是拉人头的金字塔式传销骗局，声称投资100欧元，可以赚420欧元！层级越高，赚得越多！2013年初发了一封信，宣布崩盘！2013年崩盘后从久居的德国，去往波兰，又建立了一个叫LEO的公司，这是三个英文字母的缩写：LEARN;EARN&OWN，也就是“学习赚大钱”，2013年6月tem，以“在线学习”为幌子，发展下线拉人头的名字，该网站域名已经于2014年过期,涉嫌欺诈
15970,日头号券商陷内幕交易 首席执行官辞职担责任图南电子财务总监胡雄伟辞职,交易违规
118764,"该分局已于7月10日对万盈金融涉嫌集资诈骗立案侦查,并于当日对公司实际...在成交量较大的平台中,就投资人数角度看,轻易贷、凤凰智信、玛瑙湾、爱...",涉嫌违法
127996,"举报|地址:岗侨联系人:安妮电话:1368888...创元金融我不知道.62449....而考虑到国金融业在经济中的占比和作用,对的...",投诉维权
100720,"原告垫富宝投资有限公司与被告赵树君民间借贷纠纷一案,本院于2018年3月13日立案后,依法适用简易程序,公开开庭进行了审理",涉嫌违法
148088,成都卓亚科技有限公司成都研究和试验发展简介工商招聘资讯问答请选择分类..yapp的实际运营商天津云店科技有限公司拒不发货且不...,投诉维权
31353,"月信息技术有限公司(以下简称“新余昊月”)持股比例将由28.74%下降至24...'私募基金'等诈骗活动,中财网从未开展此类业务,也从未设立异地分公司,请...",涉嫌欺诈
29352,在文件备注中，钱端提醒投资人“提交如何获取钱端APP的渠道的说明、《服务协议》、《投融资服务协议》、支付凭证、购买凭证、手机截屏等您认为维权有效的材料”,投诉维权
95048,从理论上来讲，万盈金融的风控模式貌似万无一失，但仅仅维持了三年的光景就出现逾期，其备受投资者重视的风控模式和大数据库也遭到了广泛的质疑,提现困难
2470,太钢集团减持山西证券遇阻国旅联合实控人将变更,实控人股东变更
104576,今日曝光平台——鼎盈信投        维权咨询q258曝光平台：鼎盈信投带单老师：马伯毅、林刚老师助理：陈思思操作品种：股票配资    ​    ​今年4月底的时候，张先生被一位自称股友身份的人拉进了一个股票直播间，里面有马伯毅老师讲股票还会推荐股票，讲了半个月左右后，大家都有点收益，接着推荐直播间听课的股友做鼎盈信投这个配资平台，说能带着大家赚大钱,投诉维权
84983,《华夏规划报》记者经验瞻仰试图解开“斐讯0元购”的清楚面庞,产品违规
